open,high,low,close,volume,number_of_trades,vol_ma,rsi,atr,rsi_lag1,vol_ma_lag1,price_roc,target
7873.87,7908.0,7851.3,7899.01,1461.185887,9275,896.99424325,66.77383907858857,49.79142857142876,59.54394055854462,849.2446714,0.3094744648644232,0
7877.45,7880.86,7843.0,7864.76,1049.421367,8139,880.9565864999998,53.182680696912236,48.484285714285825,63.1184119412171,875.8068164,-0.43359864084233646,0
7850.12,7852.6,7685.0,7742.76,4334.191444,29525,952.128241,19.70467367834526,56.56857142857156,46.679920477137244,818.6410750499999,-1.7098172632006525,0
7740.98,7771.61,7681.92,7728.21,1650.357663,17120,940.0378185,20.310873389094496,59.01785714285721,19.70467367834526,952.128241,-1.7362258988195434,0
7729.71,7756.06,7665.43,7754.35,2080.512316,19831,1000.77015705,29.599942746726057,59.0985714285715,20.310873389094496,940.0378185,-1.2515552114387152,0
7754.57,7755.0,7692.78,7716.72,1028.972321,13439,1029.1464349,27.111533545278917,59.72071428571436,29.599942746726057,1000.77015705,-0.33631418253955436,0
7718.92,7720.0,7571.55,7629.9,3497.301771,36630,1175.47690255,21.8356518755116,67.0671428571429,27.111533545278917,1029.1464349,-1.2720927614544686,0
7631.13,7657.87,7575.0,7632.34,1646.760375,18054,1224.1575454,15.698220640569616,69.50785714285719,21.8356518755116,1175.47690255,-1.5734394243231198,0
7615.35,7618.87,7506.66,7584.42,2869.357158,25106,1402.34771025,22.620684791424353,87.67642857142853,23.747825121238023,1289.5162699999998,-1.9094523322374712,0
7627.57,7630.0,7511.0,7599.29,2268.54433,23228,1540.66618515,28.221956061625363,99.33285714285714,28.990123706475302,1447.4270518500002,-0.2108898474791121,0
7637.87,7954.7,7596.0,7902.36,5850.260399,41542,1647.6766070999997,75.01874160986067,95.53499999999985,42.4131204763616,1406.6122032,2.637116005049789,0
7902.67,8020.0,7902.44,7950.5,3947.169222,30943,1670.1699796500002,80.98171970209889,95.92285714285701,75.01874160986067,1647.6766070999997,3.556654301433815,0
7950.59,7961.74,7877.25,7902.1,2092.311306,18840,1692.4475262,73.00374481519427,93.38642857142843,80.98171970209889,1670.1699796500002,3.4670584276401017,0
7914.45,7961.73,7885.0,7907.99,1757.684806,18279,1756.0896482,74.86454317741735,87.63285714285692,76.26764152767284,1715.5457825499998,0.0745371483529711,0
7981.0,8010.0,7913.09,7961.65,1640.480063,15348,1618.49143465,79.38607617874084,93.67928571428567,76.73982728721822,1573.4822671,0.505833432219327,0
7895.05,7905.01,7747.0,7795.68,3575.523929,26884,1176.85909085,33.626133078887634,58.18714285714285,41.083490485170586,1070.3399716,-1.2900186893166965,0
7795.68,7805.0,7706.83,7769.27,2180.803626,19959,1221.3545669,29.612079351056252,61.34000000000002,33.626133078887634,1176.85909085,-1.888291155225541,0
7767.55,7785.94,7730.26,7764.88,1846.36394,14872,1225.7885236,29.365226856399573,61.782142857142844,29.612079351056252,1221.3545669,-1.633180470749196,0
7782.23,7800.7,7731.0,7765.27,1344.368278,13336,1249.38725425,20.324588974854976,57.09785714285707,20.17641234886439,1224.59227105,-0.05148488854165301,0
7761.92,7865.98,7692.23,7847.38,2415.77168,21165,1287.4823645,40.27251683501685,66.55714285714274,21.765867236301247,1232.63165285,0.8150114209513504,0
7868.69,7947.98,7856.11,7896.04,1485.606051,16712,1318.0295901,51.14835849840698,74.98285714285696,42.80160930788885,1325.7732907,0.43450167135596907,0
7884.9,7896.64,7788.99,7809.04,1403.204241,12769,1350.0393882,52.05867850098615,72.31142857142842,48.716617638576366,1332.97150135,-0.9633481293595425,0
7825.94,8040.0,7816.1,8001.53,3473.303219,22872,1445.0838355,74.33819445872848,80.62357142857127,59.0065069036661,1327.4199741999998,1.479156362160583,0
7997.6,8045.0,7930.02,7959.76,2261.32499,17600,1493.6072349499998,67.27519257978318,86.29642857142842,74.33819445872848,1445.0838355,1.9300707897513592,0
7950.75,7953.55,7901.33,7923.8,2126.714721,14188,1606.2164017,65.53031028080326,84.73928571428561,68.50288138306385,1538.8382310000002,-0.9714392122506466,0
7939.09,7941.08,7856.73,7923.4,1988.169136,16125,1409.7845622999998,55.356897263099974,75.97214285714277,57.703534868841956,1366.9553751,0.12611487827007828,0
7923.43,8012.0,7920.56,7944.35,2137.098279,16429,1449.4210623499998,54.8045748383889,75.94142857142846,55.356897263099974,1409.7845622999998,-0.19861409820907117,0
7981.16,8005.0,7909.9,7975.84,2548.099772,19833,1451.631125,69.5179031125673,76.62142857142842,59.6749568082286,1383.63549145,0.10090614724265201,0
7977.55,8200.0,7975.0,8140.57,7133.726436,46157,1778.28425695,77.34979566994171,89.3842857142856,69.5179031125673,1451.631125,2.0823849992037013,0
8141.89,8169.96,8110.0,8119.88,2210.327816,18643,1814.5203451999998,64.08157437593704,77.67428571428562,77.34979566994171,1778.28425695,1.7373283783682192,0
8121.95,8135.0,8068.29,8106.08,2195.265123,19940,1890.6718855500003,68.6508948146637,74.22642857142851,64.08157437593704,1814.5203451999998,1.632931452988018,0
8087.59,8113.14,8010.03,8077.41,2074.486563,17425,992.6796582000001,42.27989045032103,49.85071428571421,43.77353228280581,999.4717208499999,-0.03638456254989597,0
8077.43,8150.0,8077.06,8114.26,2216.873883,18325,993.7600962,47.255272011159434,50.822857142857046,42.27989045032103,992.6796582000001,0.629752910653969,0
8114.25,8155.51,8101.63,8139.64,1361.150661,12288,1021.76905145,52.74692284599223,51.36857142857135,47.255272011159434,993.7600962,0.6580159600713786,0
8139.13,8219.49,8134.29,8172.11,2533.785884,23244,1114.1590927000002,63.31601288056194,54.10857142857133,52.74692284599223,1021.76905145,1.1724055111725251,0
8150.12,8177.78,8148.0,8174.67,1362.500488,21910,1125.5316966,68.24303039848772,51.34142857142842,68.20797855566036,1094.51085655,0.4303630135976455,0
8172.68,8275.78,8164.79,8257.56,2482.120303,29401,1218.2693406499998,74.3430680155243,55.2749999999999,68.24303039848772,1125.5316966,1.0456295864837761,0
8257.56,8279.63,8202.78,8225.41,1770.052381,20199,1255.6335741,68.75055161660438,58.46285714285698,74.3430680155243,1218.2693406499998,0.9131417326505575,0
8243.79,8309.82,8243.36,8293.53,1620.522068,16647,1298.4621490499999,75.08981728597821,62.35857142857127,72.16710631953197,1249.9116324499998,0.43560083123830307,0
8293.53,8300.34,8211.0,8237.21,1734.608249,17815,1347.2399233,65.58756225602347,66.16928571428558,75.08981728597821,1298.4621490499999,0.1434578945000764,0
8238.14,8298.15,8231.6,8274.66,1816.737564,18158,1379.9082979,52.185471090435094,58.236428571428405,57.36427041072167,1392.79574785,0.7808246706980659,0
8256.59,8365.0,8251.58,8355.18,2900.643488,27835,1350.4551385999998,66.64597149710752,55.93071428571433,44.18716218377201,1264.0828640999998,0.9636961463029614,0
8355.21,8458.58,8328.0,8403.0,3725.263181,32058,1468.59327325,74.0495436766621,59.72000000000006,66.64597149710752,1350.4551385999998,1.5249891866160326,0
8403.97,8436.47,8358.0,8384.43,2268.296336,20883,1457.9020749,73.7399703980681,61.67499999999999,74.0495436766621,1468.59327325,1.5410830331905156,0
8384.95,8448.25,8371.74,8385.16,1977.55799,19444,1468.2773553499999,81.73805695911791,61.8592857142857,73.7399703980681,1457.9020749,0.35881931927259636,0
8385.93,8420.0,8325.4,8331.54,2531.151053,28109,1554.05560715,69.97720695572016,66.01142857142857,81.73805695911791,1468.2773553499999,-0.8504105676544027,0
8431.96,8608.99,8430.37,8583.62,4682.359346,37070,1683.97013515,82.61256653596269,78.21428571428571,77.62747392024976,1524.62132135,2.39598605234308,0
